제품코드,순번,원료코드,함량
KBHC013,11.0,MFB-0103,0.6
KBHC013,12.0,MOD-0004,0.5
KBHC013,13.0,MKH-0006,0.5
KBHC013,14.0,MSP-0007,0.3
KBHC013,15.0,MPS-0002,0.3
KBHC013,16.0,MVC-0003,0.12
KBHC013,17.0,MOM-0005,0.1
KBHC013,18.0,MAH-0022,0.1
KBHC013,19.0,MXT-0005,0.08
KBHC013,20.0,MPL-0001,0.06
KBHC013,21.0,MWM-0005,0.05
KBHC013,22.0,MAV-0002,0.05
KBHC013,23.0,MAR-0006,0.05
KBHC013,24.0,MAJ-0004,0.05
KBHC013,25.0,MAA-0002,0.05
KBHC013,26.0,MAL-0020,0.05
KBHC013,27.0,MAY-0005,0.05
KBHC013,28.0,MAL-0019,0.05
KBHC013,29.0,MAM-0001,0.05
KBHC013,30.0,MAC-0001,0.05
KBHC013,31.0,MAP-0011,0.05
MLBL010,1.0,MXD-0002,77.27
MLBL010,2.0,MOL-0002,9.5
MLBL010,3.0,MKG-0001,4.0
MLBL010,4.0,MST-0001,1.5
MLBL010,5.0,MWE-0001,1.2
MLBL010,6.0,MON-0001,1.2
MLBL010,7.0,MWE-0002,0.9
MLBL010,8.0,MWE-0004,0.9
MLBL010,9.0,MSK-0001,0.6
MLBL010,10.0,MOD-0004,0.6
MLBL010,11.0,MSA-0007,0.5
MLBL010,12.0,MXT-0001,0.3
MLBL010,13.0,MFF-0034,0.3
MLBL010,14.0,MPP-0005,0.3
MLBL010,15.0,MWS-0001,0.2
MLBL010,16.0,MPD-0003,0.18
MLBL010,17.0,MPD-0004,0.1
MLBL010,18.0,MOO-0001,0.1
MLBL010,19.0,MVP-0006,0.1
MLBL010,20.0,MAA-0002,0.1
MLBL010,21.0,MVN-0001,0.03
MLBL010,22.0,MXE-0001,0.02
MLBL010,23.0,MAM-0026,0.02
MLBL010,24.0,MAB-0012,0.02
MLBL010,25.0,MAV-0002,0.01
MLBL010,26.0,MAS-0022,0.01
MLBL010,27.0,MAM-0001,0.01
MLBL010,28.0,MAS-0032,0.01
MLBL010,29.0,MAG-0009,0.01
MLBL010,30.0,MAT-0012,0.01
MLBC016,1.0,MXD-0002,62.48
MLBC016,2.0,MSM-0003,17.0
MLBC016,3.0,MSM-0004,10.0
MLBC016,4.0,MSM-0013,7.2
MLBC016,5.0,MSM-0011,1.3
MLBC016,6.0,MFF-0034,0.67
MLBC016,7.0,MXN-0003,0.5
MLBC016,8.0,MPS-0003,0.4
MLBC016,9.0,MXC-0001,0.1
MLBC016,10.0,MAA-0002,0.1
MLBC016,11.0,MPL-0001,0.06
MLBC016,12.0,MXE-0001,0.05
MLBC016,13.0,MSM-0036,0.05
MLBC016,14.0,MKP-0001,0.02
MLBC016,15.0,MAM-0026,0.01
MLBC016,16.0,MAS-0022,0.01
MLBC016,17.0,MAM-0001,0.01
MLBC016,18.0,MAS-0032,0.01
MLBC016,19.0,MAB-0012,0.01
MLBC016,20.0,MAG-0009,0.01
MLBC016,21.0,MAT-0012,0.01
MLSP005,1.0,MXD-0002,55.7
MLSP005,2.0,MSM-0026,20.0
MLSP005,3.0,MSM-0025,15.0
MLSP005,4.0,MSM-0013,5.5
MLSP005,5.0,MSM-0027,1.55
MLSP005,6.0,MFF-0034,0.7
MLSP005,7.0,MPS-0003,0.4
MLSP005,8.0,MXN-0003,0.3
MLSP005,9.0,MVP-0009,0.2
MLSP005,10.0,MXE-0001,0.15
MLSP005,11.0,MXC-0001,0.1
MLSP005,12.0,MKP-0001,0.1
MLSP005,13.0,MAA-0002,0.1
MLSP005,14.0,MPL-0001,0.05
MLSP005,15.0,MAP-0033,0.02
MLSP005,16.0,MOO-0001,0.01
MLSP005,17.0,MAM-0026,0.01
MLSP005,18.0,MAS-0022,0.01
MLSP005,19.0,MAM-0001,0.01
MLSP005,20.0,MAS-0032,0.01
MLSP005,21.0,MAB-0012,0.01
MLSP005,22.0,MAG-0009,0.01
MLSP005,23.0,MAT-0012,0.01
MLSP005,24.0,MAE-0015,0.01
MLSP005,25.0,MAE-0018,0.01
MLSP005,26.0,MAK-0001,0.01
MLSP005,27.0,MAP-0020,0.01
MLSP005,28.0,MKP-0003,0.01
MLRS005,1.0,MXD-0002,83.306
MLRS005,2.0,MSM-0024,4.0
MLRS005,3.0,MOD-0012,3.0
MLRS005,4.0,MWE-0004,2.5
MLRS005,5.0,MWE-0002,2.0
MLRS005,6.0,MOL-0002,1.7
MLRS005,7.0,MKG-0001,1.5
MLRS005,8.0,MFF-0034,0.6
MLRS005,9.0,MSK-0001,0.3
MLRS005,10.0,MSA-0007,0.3
MLRS005,11.0,MPD-0003,0.2
MLRS005,12.0,MVC-0010,0.2
MLRS005,13.0,MOO-0001,0.1
MLRS005,14.0,MAA-0002,0.1
MLRS005,15.0,MXE-0001,0.05
MLRS005,16.0,MAP-0033,0.02
MLRS005,17.0,MAM-0026,0.01
MLRS005,18.0,MAS-0022,0.01
MLRS005,19.0,MAM-0001,0.01
MLRS005,20.0,MAS-0032,0.01
MLRS005,21.0,MAB-0012,0.01
MLRS005,22.0,MAG-0009,0.01
MLRS005,23.0,MAT-0012,0.01
MLRS005,24.0,MAE-0015,0.01
MLRS005,25.0,MAE-0018,0.01
MLRS005,26.0,MAK-0001,0.01
MLRS005,27.0,MAP-0020,0.01
MLRS005,28.0,MKP-0003,0.01
MLRS005,29.0,MXC-0001,0.004
ILWS008,1.0,MXD-0002,69.92
ILWS008,2.0,MKP-0001,12.0
ILWS008,3.0,MSM-0013,10.0
ILWS008,4.0,MSP-0004,4.0
ILWS008,5.0,MAL-0001,1.8
ILWS008,6.0,MFM-0023,0.56
ILWS008,7.0,MPS-0002,0.3
ILWS008,8.0,MPE-0002,0.3
ILWS008,9.0,MAM-0031,0.2
ILWS008,10.0,MXE-0001,0.1
ILWS008,11.0,MXC-0001,0.1
ILWS008,12.0,MAH-0011,0.1
ILWS008,13.0,MAB-0014,0.1
ILWS008,14.0,MAY-0007,0.1
ILWS008,15.0,MAY-0003,0.1
ILWS008,16.0,MAC-0038,0.1
ILWS008,17.0,MAM-0001,0.1
ILWS008,18.0,MXL-0001,0.05
ILWS008,19.0,MXC-0004,0.05
ILWS008,20.0,MXM-0001,0.02
CCHP001,1.0,MXD-0002,78.43950000000001
CCHP001,2.0,MWE-0002,4.0
CCHP001,3.0,MOS-0027,3.5
CCHP001,4.0,MSM-0030,3.0
CCHP001,5.0,MOD-0004,2.0
CCHP001,6.0,MOS-0025,2.0
CCHP001,7.0,MOD-0012,2.0
CCHP001,8.0,MKP-0001,1.0
CCHP001,9.0,MWE-0004,1.0
CCHP001,10.0,mfb-0034,0.65
CCHP001,11.0,MSK-0001,0.5
CCHP001,12.0,MSA-0007,0.5
CCHP001,13.0,MPS-0003,0.4
CCHP001,14.0,MPE-0002,0.3
CCHP001,15.0,MVC-0010,0.2
CCHP001,16.0,MOO-0001,0.2
CCHP001,17.0,MOD-0016,0.1
CCHP001,18.0,MPL-0001,0.06
CCHP001,19.0,MXE-0001,0.04
CCHP001,20.0,MAJ-0004,0.02
CCHP001,21.0,MAA-0032,0.02
CCHP001,22.0,MAP-0011,0.02
CCHP001,23.0,MXD-0001,0.01
CCHP001,24.0,MAP-0020,0.01
CCHP001,25.0,MKP-0003,0.01
CCHP001,26.0,MAP-0035,0.01
CCHP001,27.0,MAM-0029,0.01
CCHP001,28.0,MCR-0005,0.00035999999999999997
CCHP001,29.0,MCF-0001,0.00014000000000000001
CCHPB01,1.0,MXD-0002,78.43950000000001
CCHPB01,2.0,MWE-0002,4.0
CCHPB01,3.0,MOS-0027,3.5
CCHPB01,4.0,MSM-0030,3.0
CCHPB01,5.0,MOD-0004,2.0
CCHPB01,6.0,MOS-0025,2.0
CCHPB01,7.0,MOD-0012,2.0
CCHPB01,8.0,MKP-0001,1.0
CCHPB01,9.0,MWE-0004,1.0
CCHPB01,10.0,mfb-0034,0.65
CCHPB01,11.0,MSK-0001,0.5
CCHPB01,12.0,MSA-0007,0.5
CCHPB01,13.0,MPS-0003,0.4
CCHPB01,14.0,MPE-0002,0.3
CCHPB01,15.0,MVC-0010,0.2
CCHPB01,16.0,MOO-0001,0.2
CCHPB01,17.0,MOD-0016,0.1
CCHPB01,18.0,MPL-0001,0.06
CCHPB01,19.0,MXE-0001,0.04
CCHPB01,20.0,MAJ-0004,0.02
CCHPB01,21.0,MAA-0032,0.02
CCHPB01,22.0,MAP-0011,0.02
CCHPB01,23.0,MXD-0001,0.01
CCHPB01,24.0,MAP-0020,0.01
CCHPB01,25.0,MKP-0003,0.01
CCHPB01,26.0,MAP-0035,0.01
CCHPB01,27.0,MAM-0029,0.01
CCHPB01,28.0,MCR-0005,0.00035999999999999997
CCHPB01,29.0,MCF-0001,0.00014000000000000001
FJLO001,1.0,MOH-0002,40.0
FJLO001,2.0,MOR-0002,20.0
FJLO001,3.0,MON-0001,18.8476
FJLO001,4.0,MOJ-0001,10.0
FJLO001,5.0,MOD-0017,10.0
FJLO001,6.0,MAV-0002,0.45
FJLO001,7.0,MOC-0012,0.18
FJLO001,8.0,MFB-0030,0.15
FJLO001,9.0,MOC-0011,0.12
FJLO001,10.0,MOA-0008,0.05
FJLO001,11.0,MOR-0001,0.05
FJLO001,12.0,MOD-0016,0.05
FJLO001,13.0,MOM-0005,0.05
FJLO001,14.0,MOO-0001,0.05
FJLO001,15.0,MFL-0009,0.001
FJLO001,16.0,MAS-0037,0.001
FJLO001,17.0,MAC-0043,0.0001
FJLO001,18.0,MAA-0039,0.0001
FJLO001,19.0,MAJ-0004,0.0001
FJLO001,20.0,MAL-0019,0.0001
BTBO003,1.0,MOL-0002,86.35
BTBO003,2.0,MOP-0004,8.0
BTBO003,3.0,MON-0001,3.0
BTBO003,4.0,MOC-0010,1.0
BTBO003,5.0,MOL-0003,0.8
BTBO003,6.0,MFS-0098,0.4
BTBO003,7.0,MOO-0001,0.1
BTBO003,8.0,MOM-0005,0.1
BTBO003,9.0,MOF-0006,0.1
BTBO003,10.0,MAV-0002,0.05
BTBO003,11.0,MPB-0001,0.04
BTBO003,12.0,MOR-0001,0.01
BTBO003,13.0,MOJ-0001,0.01
BTBO003,14.0,MOS-0028,0.01
BTBO003,15.0,MOT-0002,0.01
BTBO003,16.0,MFE-0019,0.01
BTBO003,17.0,MFS-0097,0.01
BTBO001,1.0,MOL-0002,86.35
BTBO001,2.0,MOP-0004,8.0
BTBO001,3.0,MON-0001,3.0
BTBO001,4.0,MOC-0010,1.0
BTBO001,5.0,MOL-0003,0.8
BTBO001,6.0,MFS-0098,0.4
BTBO001,7.0,MOO-0001,0.1
BTBO001,8.0,MOM-0005,0.1
BTBO001,9.0,MOF-0006,0.1
BTBO001,10.0,MAV-0002,0.05
BTBO001,11.0,MPB-0001,0.04
BTBO001,12.0,MOR-0001,0.01
BTBO001,13.0,MOJ-0001,0.01
BTBO001,14.0,MOS-0028,0.01
BTBO001,15.0,MOT-0002,0.01
BTBO001,16.0,MFE-0019,0.01
BTBO001,17.0,MFS-0097,0.01
BTBO002,1.0,MOL-0002,86.35
BTBO002,2.0,MOP-0004,8.0
BTBO002,3.0,MON-0001,3.0
BTBO002,4.0,MOC-0010,1.0
BTBO002,5.0,MOL-0003,0.8
BTBO002,6.0,MFS-0098,0.4
BTBO002,7.0,MOO-0001,0.1
BTBO002,8.0,MOM-0005,0.1
BTBO002,9.0,MOF-0006,0.1
BTBO002,10.0,MAV-0002,0.05
BTBO002,11.0,MPB-0001,0.04
BTBO002,12.0,MOR-0001,0.01
BTBO002,13.0,MOJ-0001,0.01
BTBO002,14.0,MOS-0028,0.01
BTBO002,15.0,MOT-0002,0.01
BTBO002,16.0,MFE-0019,0.01
BTBO002,17.0,MFS-0097,0.01
CCAB001,1.0,MKG-0001,35.0
CCAB001,2.0,MXD-0002,29.88
CCAB001,3.0,MKM-0004,10.0
CCAB001,4.0,MOD-0004,7.0
CCAB001,5.0,MK1-0001,4.0
CCAB001,6.0,MOD-0006,2.5
CCAB001,7.0,MWL-0004,2.2
CCAB001,8.0,MOL-0003,2.0
CCAB001,9.0,MOM-0004,2.0
CCAB001,10.0,MSA-0007,1.1
CCAB001,11.0,MWE-0004,0.8
CCAB001,12.0,MSM-0031,0.7
CCAB001,13.0,MVS-0006,0.5
CCAB001,14.0,mfb-0034,0.5
CCAB001,15.0,MPS-0003,0.4
CCAB001,16.0,MSM-0024,0.4
CCAB001,17.0,MPE-0002,0.3
CCAB001,18.0,MVC-0010,0.2
CCAB001,19.0,MAR-0014,0.1
CCAB001,20.0,MPL-0001,0.06
CCAB001,21.0,MAP-0020,0.05
CCAB001,22.0,MAA-0035,0.05
CCAB001,23.0,MAM-0029,0.05
CCAB001,24.0,MAA-0032,0.05
CCAB001,25.0,MAJ-0004,0.05
CCAB001,26.0,MAP-0011,0.05
CCAB001,27.0,MXE-0001,0.04
CCAB001,28.0,MXD-0001,0.01
CCAB001,29.0,MAP-0035,0.01
FJBB001,1.0,MXD-0002,44.337
FJBB001,2.0,MON-0001,8.3
FJBB001,3.0,MCT-0008,7.3
FJBB001,4.0,MUP-0004,4.0
FJBB001,5.0,MVB-0003,4.0
FJBB001,6.0,MOD-0006,4.0
FJBB001,7.0,MK1-0001,4.0
FJBB001,8.0,MOP-0004,3.0
FJBB001,9.0,MKG-0001,3.0
FJBB001,10.0,MSA-0014,2.5
FJBB001,11.0,MWW-0001,2.0
FJBB001,12.0,MUT-0001,2.0
FJBB001,13.0,MOD-0008,2.0
FJBB001,14.0,MOM-0005,1.88
FJBB001,15.0,MWM-0002,1.5
FJBB001,16.0,MK1-0002,1.5
FJBB001,17.0,MCH-0001,0.84
FJBB001,18.0,MXN-0003,0.8
FJBB001,19.0,MDS-0016,0.7
FJBB001,20.0,MSO-0004,0.5
FJBB001,21.0,MPS-0002,0.5
FJBB001,22.0,MCH-0002,0.34
FJBB001,23.0,MCH-0003,0.26
FJBB001,24.0,MCU-0001,0.18
FJBB001,25.0,MAV-0002,0.1
FJBB001,26.0,MFP-0007,0.1
FJBB001,27.0,MXE-0001,0.1
FJBB001,28.0,MAC-0043,0.1
FJBB001,29.0,MAA-0039,0.1
FJBB001,30.0,MAD-0002,0.02
FJBB001,31.0,MKH-0006,0.01
ILMT005,1.0,MXD-0002,81.69
ILMT005,2.0,MKI-0004,5.0
ILMT005,3.0,MKE-0001,5.0
ILMT005,4.0,MKU-0002,2.5
ILMT005,5.0,MAL-0001,2.0
ILMT005,6.0,MXL-0001,1.0
ILMT005,7.0,MSC-0006,1.0
ILMT005,8.0,MPS-0002,0.3
ILMT005,9.0,MPE-0002,0.3
ILMT005,10.0,MFM-0023,0.28
ILMT005,11.0,MAM-0031,0.2
ILMT005,12.0,MAY-0007,0.2
ILMT005,13.0,MAY-0003,0.2
ILMT005,14.0,MXC-0001,0.1
ILMT005,15.0,MAB-0014,0.1
ILMT005,16.0,MAH-0011,0.1
ILMT005,17.0,MXM-0001,0.02
ILMT005,18.0,MAI-0003,0.01
CCAO001,1.0,MOS-0024,76.0
CCAO001,2.0,MOD-0006,16.4597
CCAO001,3.0,MOP-0004,7.0
CCAO001,4.0,mfb-0034,0.35
CCAO001,5.0,MOS-0028,0.12
CCAO001,6.0,MAV-0002,0.01
CCAO001,7.0,MOA-0008,0.01
CCAO001,8.0,MOA-0009,0.01
CCAO001,9.0,MOD-0016,0.01
CCAO001,10.0,MOM-0005,0.01
CCAO001,11.0,MOO-0001,0.01
CCAO001,12.0,MOS-0026,0.01
CCAO001,13.0,MAP-0020,0.0001
CCAO001,14.0,MAA-0035,0.0001
CCAO001,15.0,MAP-0035,0.0001
FJCR008,1.0,MXD-0002,50.16
FJCR008,2.0,MAH-0024,10.0
FJCR008,3.0,MON-0004,8.0
FJCR008,4.0,MKG-0001,6.5
FJCR008,5.0,MOP-0004,6.5
FJCR008,6.0,MWE-0004,3.2
FJCR008,7.0,MAG-0032,2.0
FJCR008,8.0,MAN-0001,2.0
FJCR008,9.0,MK1-0001,2.0
FJCR008,10.0,MST-0001,1.6
FJCR008,11.0,MK1-0002,1.5
FJCR008,12.0,MSA-0007,1.0
FJCR008,13.0,MAL-0024,1.0
FJCR008,14.0,MSK-0001,0.6
FJCR008,15.0,MSP-0007,0.5
FJCR008,16.0,MWS-0001,0.5
FJCR008,17.0,MOD-0004,0.5
FJCR008,18.0,MPS-0002,0.5
FJCR008,19.0,MKH-0006,0.5
FJCR008,20.0,MSA-0008,0.2
FJCR008,21.0,MAP-0035,0.2
FJCR008,22.0,MVA-0009,0.16
FJCR008,23.0,MAA-0001,0.1
FJCR008,24.0,MAE-0019,0.1
FJCR008,25.0,MVC-0003,0.1
FJCR008,26.0,MAG-0021,0.1
FJCR008,27.0,MAF-0008,0.1
FJCR008,28.0,MAL-0001,0.08
FJCR008,29.0,MFS-0107,0.06
FJCR008,30.0,MPL-0001,0.06
FJCR008,31.0,MAV-0002,0.05
FJCRM08,1.0,MXD-0002,50.16
FJCRM08,2.0,MAH-0024,10.0
FJCRM08,3.0,MON-0004,8.0
FJCRM08,4.0,MKG-0001,6.5
FJCRM08,5.0,MOP-0004,6.5
FJCRM08,6.0,MWE-0004,3.2
FJCRM08,7.0,MAG-0032,2.0
FJCRM08,8.0,MAN-0001,2.0
FJCRM08,9.0,MK1-0001,2.0
FJCRM08,10.0,MST-0001,1.6
FJCRM08,11.0,MK1-0002,1.5
FJCRM08,12.0,MSA-0007,1.0
FJCRM08,13.0,MAL-0024,1.0
FJCRM08,14.0,MSK-0001,0.6
FJCRM08,15.0,MSP-0007,0.5
FJCRM08,16.0,MWS-0001,0.5
FJCRM08,17.0,MOD-0004,0.5
FJCRM08,18.0,MPS-0002,0.5
FJCRM08,19.0,MKH-0006,0.5
FJCRM08,20.0,MSA-0008,0.2
FJCRM08,21.0,MAP-0035,0.2
FJCRM08,22.0,MVA-0009,0.16
FJCRM08,23.0,MAA-0001,0.1
FJCRM08,24.0,MAE-0019,0.1
FJCRM08,25.0,MVC-0003,0.1
FJCRM08,26.0,MAG-0021,0.1
FJCRM08,27.0,MAF-0008,0.1
FJCRM08,28.0,MAL-0001,0.08
FJCRM08,29.0,MFS-0107,0.06
FJCRM08,30.0,MPL-0001,0.06
FJCRM08,31.0,MAV-0002,0.05
FJES001,1.0,MXD-0002,48.87
FJES001,2.0,MAH-0024,10.0
FJES001,3.0,MOD-0006,9.5
FJES001,4.0,MOD-0013,7.5
FJES001,5.0,MK1-0001,6.0
FJES001,6.0,MKG-0001,4.0
FJES001,7.0,MOM-0009,3.0
FJES001,8.0,MAG-0032,2.0
FJES001,9.0,MAN-0001,2.0
FJES001,10.0,MK1-0002,1.5
FJES001,11.0,MSS-0009,1.2
FJES001,12.0,MKH-0006,1.0
FJES001,13.0,MAL-0024,1.0
FJES001,14.0,MAP-0035,0.6
FJES001,15.0,MVA-0005,0.5
FJES001,16.0,MPS-0002,0.5
FJES001,17.0,MAF-0008,0.14
FJES001,18.0,MVP-0006,0.12
FJES001,19.0,MAE-0019,0.1
FJES001,20.0,MAA-0001,0.1
FJES001,21.0,MAG-0021,0.1
FJES001,22.0,MFS-0107,0.08
FJES001,23.0,MPL-0001,0.06
FJES001,24.0,MXD-0001,0.05
FJES001,25.0,MAA-0021,0.04
FJES001,26.0,MXE-0001,0.03
FJES001,27.0,MAD-0002,0.01
FJSL008,1.0,MXD-0002,77.33
FJSL008,2.0,MAH-0024,10.0
FJSL008,3.0,MKI-0004,6.0
FJSL008,4.0,MKG-0001,2.5
FJSL008,5.0,MAG-0032,1.0
FJSL008,6.0,MKL-0001,0.5
FJSL008,7.0,MKH-0006,0.5
FJSL008,8.0,MKH-0005,0.5
FJSL008,9.0,MST-0002,0.4
FJSL008,10.0,MPS-0002,0.4
FJSL008,11.0,MPE-0002,0.2
FJSL008,12.0,MAP-0035,0.1
FJSL008,13.0,MAL-0024,0.1
FJSL008,14.0,MAG-0021,0.1
FJSL008,15.0,MAB-0012,0.1
FJSL008,16.0,MXS-0008,0.06
FJSL008,17.0,MAE-0019,0.05
FJSL008,18.0,MXD-0001,0.05
FJSL008,19.0,MXE-0001,0.03
FJSL008,20.0,MFS-0107,0.03
FJSL008,21.0,MXC-0001,0.02
FJSL008,22.0,MAF-0008,0.02
FJSL008,23.0,MAD-0002,0.01
FJSLM08,1.0,MXD-0002,77.33
FJSLM08,2.0,MAH-0024,10.0
FJSLM08,3.0,MKI-0004,6.0
FJSLM08,4.0,MKG-0001,2.5
FJSLM08,5.0,MAG-0032,1.0
FJSLM08,6.0,MKL-0001,0.5
FJSLM08,7.0,MKH-0006,0.5
FJSLM08,8.0,MKH-0005,0.5
FJSLM08,9.0,MST-0002,0.4
FJSLM08,10.0,MPS-0002,0.4
FJSLM08,11.0,MPE-0002,0.2
FJSLM08,12.0,MAP-0035,0.1
FJSLM08,13.0,MAL-0024,0.1
FJSLM08,14.0,MAG-0021,0.1
FJSLM08,15.0,MAB-0012,0.1
FJSLM08,16.0,MXS-0008,0.06
FJSLM08,17.0,MAE-0019,0.05
FJSLM08,18.0,MXD-0001,0.05
FJSLM08,19.0,MXE-0001,0.03
FJSLM08,20.0,MFS-0107,0.03
FJSLM08,21.0,MXC-0001,0.02
FJSLM08,22.0,MAF-0008,0.02
FJSLM08,23.0,MAD-0002,0.01
FJWE001,1.0,MXD-0002,49.72
FJWE001,2.0,MAH-0024,30.0
FJWE001,3.0,MK1-0001,5.0
FJWE001,4.0,MKE-0001,4.5
FJWE001,5.0,MKI-0004,3.0
FJWE001,6.0,MAG-0032,2.0
FJWE001,7.0,MK1-0002,1.3
FJWE001,8.0,MAL-0024,1.0
FJWE001,9.0,MWD-0001,0.7
FJWE001,10.0,MKS-0003,0.5
FJWE001,11.0,MPS-0002,0.5
FJWE001,12.0,MKH-0006,0.5
FJWE001,13.0,MSS-0007,0.35
FJWE001,14.0,MAP-0035,0.2
FJWE001,15.0,MAF-0008,0.15
FJWE001,16.0,MVC-0004,0.11
FJWE001,17.0,MAE-0019,0.1
FJWE001,18.0,MXT-0005,0.1
FJWE001,19.0,MAG-0021,0.1
FJWE001,20.0,MPL-0001,0.06
FJWE001,21.0,MAA-0001,0.05
FJWE001,22.0,MFS-0107,0.04
FJWE001,23.0,MAD-0002,0.01
FJWE001,24.0,MXB-0004,0.01
FJWEM01,1.0,MXD-0002,49.72
FJWEM01,2.0,MAH-0024,30.0
FJWEM01,3.0,MK1-0001,5.0
FJWEM01,4.0,MKE-0001,4.5
FJWEM01,5.0,MKI-0004,3.0
FJWEM01,6.0,MAG-0032,2.0
FJWEM01,7.0,MK1-0002,1.3
FJWEM01,8.0,MAL-0024,1.0
FJWEM01,9.0,MWD-0001,0.7
FJWEM01,10.0,MKS-0003,0.5
FJWEM01,11.0,MPS-0002,0.5
FJWEM01,12.0,MKH-0006,0.5
FJWEM01,13.0,MSS-0007,0.35
FJWEM01,14.0,MAP-0035,0.2
FJWEM01,15.0,MAF-0008,0.15
FJWEM01,16.0,MVC-0004,0.11
FJWEM01,17.0,MAE-0019,0.1
FJWEM01,18.0,MXT-0005,0.1
FJWEM01,19.0,MAG-0021,0.1
FJWEM01,20.0,MPL-0001,0.06
FJWEM01,21.0,MAA-0001,0.05
FJWEM01,22.0,MFS-0107,0.04
FJWEM01,23.0,MAD-0002,0.01
FJWEM01,24.0,MXB-0004,0.01
FJOF002,1.0,MXD-0002,31.257
FJOF002,2.0,MKG-0001,30.0
FJOF002,3.0,MSM-0023,17.0
FJOF002,4.0,MVA-0006,4.4
FJOF002,5.0,MSP-0005,4.0
FJOF002,6.0,MSM-0029,4.0
FJOF002,7.0,MSK-0002,3.4
FJOF002,8.0,MSP-0004,3.0
FJOF002,9.0,MAH-0024,1.0
FJOF002,10.0,MPS-0003,0.4
FJOF002,11.0,MFS-0107,0.3
FJOF002,12.0,MSK-0001,0.2
FJOF002,13.0,MAF-0008,0.2
FJOF002,14.0,MXE-0001,0.1
FJOF002,15.0,MOM-0005,0.1
FJOF002,16.0,MOR-0001,0.1
FJOF002,17.0,MAG-0032,0.1
FJOF002,18.0,MAL-0024,0.1
FJOF002,19.0,MAG-0021,0.1
FJOF002,20.0,MAV-0005,0.1
FJOF002,21.0,MPL-0001,0.06
FJOF002,22.0,MXD-0001,0.05
FJOF002,23.0,MXC-0001,0.02
FJOF002,24.0,MAP-0035,0.01
FJOF002,25.0,MAM-0030,0.001
FJOF002,26.0,MXB-0004,0.001
FJOF002,27.0,MXG-0004,0.001
FJOFM02,1.0,MXD-0002,31.257
FJOFM02,2.0,MKG-0001,30.0
FJOFM02,3.0,MSM-0023,17.0
FJOFM02,4.0,MVA-0006,4.4
FJOFM02,5.0,MSP-0005,4.0
FJOFM02,6.0,MSM-0029,4.0
FJOFM02,7.0,MSK-0002,3.4
FJOFM02,8.0,MSP-0004,3.0
FJOFM02,9.0,MAH-0024,1.0
FJOFM02,10.0,MPS-0003,0.4
FJOFM02,11.0,MFS-0107,0.3
FJOFM02,12.0,MSK-0001,0.2
FJOFM02,13.0,MAF-0008,0.2
FJOFM02,14.0,MXE-0001,0.1
FJOFM02,15.0,MOM-0005,0.1
FJOFM02,16.0,MOR-0001,0.1
FJOFM02,17.0,MAG-0032,0.1
FJOFM02,18.0,MAL-0024,0.1
FJOFM02,19.0,MAG-0021,0.1
FJOFM02,20.0,MAV-0005,0.1
FJOFM02,21.0,MPL-0001,0.06
FJOFM02,22.0,MXD-0001,0.05
FJOFM02,23.0,MXC-0001,0.02
FJOFM02,24.0,MAP-0035,0.01
FJOFM02,25.0,MAM-0030,0.001
FJOFM02,26.0,MXB-0004,0.001
FJOFM02,27.0,MXG-0004,0.001
BTBC008,1.0,MXD-0002,54.89629
BTBC008,2.0,MSM-0003,18.0
BTBC008,3.0,MSM-0013,7.0
BTBC008,4.0,MVA-0006,5.2
BTBC008,5.0,MSP-0005,5.0
BTBC008,6.0,MKG-0001,4.0
BTBC008,7.0,MSM-0028,1.1
BTBC008,8.0,MXV-0003,0.9
BTBC008,9.0,MSR-0002,0.7
BTBC008,10.0,MXT-0005,0.68
BTBC008,11.0,MFB-0102,0.6
BTBC008,12.0,MDA-0003,0.6
BTBC008,13.0,MXS-0001,0.5
BTBC008,14.0,MPS-0003,0.4
BTBC008,15.0,MXE-0001,0.1
BTBC008,16.0,MXH-0003,0.1
BTBC008,17.0,MPL-0001,0.06
BTBC008,18.0,MAF-0008,0.02
BTBC008,19.0,MAA-0001,0.01
BTBC008,20.0,MAM-0030,0.01
BTBC008,21.0,MOM-0005,0.01
BTBC008,22.0,MOO-0001,0.01
BTBC008,23.0,MAE-0015,0.01
BTBC008,24.0,MAH-0006,0.01
BTBC008,25.0,MAL-0016,0.01
BTBC008,26.0,MAO-0008,0.01
BTBC008,27.0,MKH-0006,0.01
BTBC008,28.0,MAA-0002,0.01
BTBC008,29.0,MAB-0012,0.01
BTBC008,30.0,MAG-0009,0.01
BTBC008,31.0,MAT-0012,0.01
BTDM002,1.0,MXD-0002,80.108
BTDM002,2.0,MKE-0001,14.0
BTDM002,3.0,MSC-0006,3.0
BTDM002,4.0,MFB-0104,1.4
BTDM002,5.0,MKG-0001,1.0
BTDM002,6.0,MPS-0003,0.3
BTDM002,7.0,MXS-0008,0.1
BTDM002,8.0,MXC-0001,0.08
BTDM002,9.0,MAP-0031,0.01
BTDM002,10.0,MFB-0075,0.001
BTDM002,11.0,MFL-0009,0.001
BTDM003,1.0,MXD-0002,80.108
BTDM003,2.0,MKE-0001,14.0
BTDM003,3.0,MSC-0006,3.0
BTDM003,4.0,MFB-0104,1.4
BTDM003,5.0,MKG-0001,1.0
BTDM003,6.0,MPS-0003,0.3
BTDM003,7.0,MXS-0008,0.1
BTDM003,8.0,MXC-0001,0.08
BTDM003,9.0,MAP-0031,0.01
