ingredient_code,file_type,original_filename,file_path,file_size
MAE-0018,COA,MAE-0018_Elastin H-HD.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0018_Elastin H-HD.pdf,312134
MAE-0018,COA,MAE-0018_ELASTIN H-HD_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0018_ELASTIN H-HD_COA(ENG).pdf,63191
MAE-0019,COA,MAE-0019_SPECBIO ECTOIN_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0019_SPECBIO ECTOIN_COA.pdf,434684
MAE-0019,COA,MAE-0019_SpecBio® Ectoine_SPEC.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0019_SpecBio® Ectoine_SPEC.pdf,514764
MAE-0020,COA,MAE-0020_EVAS Anti-odor Complex_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0020_EVAS Anti-odor Complex_COA.pdf,86261
MAF-0006,COA,MAF-0006_Fresh Green Bud(무방부)_영문 COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAF-0006_Fresh Green Bud(무방부)_영문 COA.pdf,417354
MAF-0006,COA,MAF-0006_Fresh Green Bud.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAF-0006_Fresh Green Bud.pdf,772298
MAF-0008,COA,MAF-0008_FruitMax Brown 900 WS.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAF-0008_FruitMax Brown 900 WS.pdf,451513
MAF-0008,COA,MAF-0008_FRUITMAX BROWN 900 WS_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAF-0008_FRUITMAX BROWN 900 WS_COA.pdf,321865
MAG-0007,COA,MAG-0007_Gluadin W 40.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0007_Gluadin W 40.pdf,189564
MAG-0007,COA,MAG-0007_HIZ Wheat Protein_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0007_HIZ Wheat Protein_COA.pdf,128655
MAG-0009,COA,MAG-0009_Green Tea Ext..pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0009_Green Tea Ext..pdf,600242
