ingredient_code,file_type,original_filename,file_path,file_size,file_extension
MAE-0020,COA,MAE-0020_EVAS Anti-odor Complex_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAE-0020_EVAS Anti-odor Complex_COA.pdf,86261,.pdf
MAF-0006,COA,MAF-0006_Fresh Green Bud(무방부)_영문 COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAF-0006_Fresh Green Bud(무방부)_영문 COA.pdf,417354,.pdf
MAF-0006,COA,MAF-0006_Fresh Green Bud.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAF-0006_Fresh Green Bud.pdf,772298,.pdf
MAF-0008,COA,MAF-0008_FruitMax Brown 900 WS.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAF-0008_FruitMax Brown 900 WS.pdf,451513,.pdf
MAF-0008,COA,MAF-0008_FRUITMAX BROWN 900 WS_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAF-0008_FRUITMAX BROWN 900 WS_COA.pdf,321865,.pdf
MAF-0008,COA,MAF-0008_FruitMax Brown 900WS COA.PDF,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAF-0008_FruitMax Brown 900WS COA.PDF,32894,.pdf
MAG-0007,COA,MAG-0007_Gluadin W 40.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0007_Gluadin W 40.pdf,189564,.pdf
MAG-0007,COA,MAG-0007_HIZ Wheat Protein_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0007_HIZ Wheat Protein_COA.pdf,128655,.pdf
MAG-0009,COA,MAG-0009_Green Tea Ext..pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0009_Green Tea Ext..pdf,600242,.pdf
MAG-0009,COA,MAG-0009_Green Tea Ext_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0009_Green Tea Ext_COA(ENG).pdf,63511,.pdf
MAG-0012,COA,MAG-0012 자몽추출물-PF_COA_111SWD.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0012 자몽추출물-PF_COA_111SWD.pdf,126818,.pdf
MAG-0012,COA,MAG-0012_Grapefruit Extract-PF_COA(ENG)_107XWD.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0012_Grapefruit Extract-PF_COA(ENG)_107XWD.pdf,89160,.pdf
MAG-0021,COA,MAG-0021_갈락토미세스 발효여과물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0021_갈락토미세스 발효여과물.pdf,490718,.pdf
MAG-0021,COA,MAG-0021_갈락토미세스발효여과물_영문COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0021_갈락토미세스발효여과물_영문COA.pdf,414642,.pdf
