ingredient_code,ingredient_name,manufacturer,origin_country,purchase_type,purchase_method
MPE-0002,EZ-Naturocide(S),㈜이지코스,㈜이지코스,무작위,원료실
MPE-0003,EZ-Naturocide (M-3) ,㈜이지코스,㈜이지코스,무작위,원료실
MPG-0001,"Preservative A15
(Germall-115)",Sunpu Chem,（주）한주씨앤씨,무작위,원료실
MPG-0002,Glydant XL-1000,Lonza,서한코스켐,무작위,원료실
MPG-0005,Glydant 2000,,젠슨리무역,무작위,원료실
MPK-0001,Kathon CG,Dow,태창물산,무작위,원료실
MPL-0001,Zicos PR-ET (EHG),㈜지코,㈜지코,무작위,원료실
MPP-0001,PCMX,RICHEM,타임향료,무작위,원료실
MPP-0005,Saliethanol [Phenoxyethanol],Salicylates,㈜나노젠,무작위,원료실
MPP-0006,Phenonip,Clariant,욱성물산,무작위,원료실
MPS-0001,Spectrastat,INOLEX CHE,케이에스켐,무작위,원료실
MPS-0002,Ncare Triol,Salicylates Che,나노젠,무작위,원료실
MPS-0003,Sodium Benzoate,"BENXI BLACK HORSE CHEMICAL INDUSTRY&COMMERCE CO.,LTD",(주)블루켐,무작위,원료실
MPS-0004,Saliphenesin,Salicylates,(주)나노젠,무작위,원료실
MSA-0001,Ajidew N-50,Ajinomoto,이현화학,무작위,원료실
MSA-0002,Amisoft CT-12S,Ajinomoto,이현화학,무작위,원료실
MSA-0007,HB-165,SUNFOL,㈜한백씨앤에프,무작위,원료실
MSA-0008,Rheodol AO-15V,Croda,㈜블루켐,무작위,원료실
MSA-0014,Abil EM 90,Evonik,에스앤디랩,무작위,원료실
MSA-0017,Abil WE 09,Evonik,에스앤디랩,무작위,원료실
MSA-0018,AminoMix 210,LG H&H,(주)비즈켐,무작위,원료실
MSB-0003,Biophilic H,Lucas Meyer,주원상사,무작위,원료실
MSB-0004,BioCare-R,바이오엔텍,에스앤디랩,무작위,원료실
MSB-0005,Biothickener Type BP,RIKEVITA (M) SDN BHD,미성코스메틱㈜,무작위,원료실
MSC-0003,Cetiol - HE,BASF,(주)한백씨앤에프,무작위,원료실
MSC-0005,Corum 2680,Corum ,신아무역,무작위,원료실
MSC-0006,Eumulgin CO 40,BASF,케이원씨앤씨,무작위,원료실
MSC-0007,Tego Soft GMC 6,Evonik,㈜한백씨앤에프,무작위,원료실
MSE-0002,Emalex 218,Nihon Emulsion,이현화학,무작위,원료실
MSE-0006,Emalex 6300 DI-ST,Nihon Emulsion,해피콜,무작위,원료실
MSE-0008,Emalex GM-5,Nihon Emulsion,해피콜,무작위,원료실
MSE-0009,Emalex GWIS-115(M),Nihon Emulsion,정한약품,무작위,원료실
MSE-0013,Eumulgin RO-40,BASF,대봉엘에스㈜,무작위,원료실
MSE-0023,Emalex SS 5050K,Nihon Emulsion,서한코스켐,무작위,원료실
MSE-0024,Emalex DAPE-0212,Nihon Emulsion,신우무역,무작위,원료실
MSE-0025,Eumulgin HPS,BASF,(주)한백씨앤에프,무작위,원료실
MSE-0026,Zicos SU-20,(주)지코,(주)지코,무작위,원료실
MSE-0027,Elotant SCA,LG 생활건강,(주)비즈켐,무작위,원료실
MSE-0028,Etomix - HC25,TEMIX,(주)한백씨앤에프,무작위,원료실
MSE-0029,Enzyme Powder Wash 700-25,주식회사 에코텍아이앤씨,주식회사 에코텍아이앤씨,무작위,원료실
MSE-0030,Elotant Milcoside 304,(주) LG생활건강,비즈켐,무작위,원료실
