id,ingredient_code,component_order,inci_name_en,inci_name_kr,cas_number,composition_ratio,function,country_of_origin,created_at
0b759eb6-58e4-4acb-a199-bbccd64cc6a8,MWP-0009,1,Hydrogenated Polydecene,,57-11-4,100.0000,"Emulsion Stabilizer, Surfactants",말레이시아,2026-01-28 16:37:18.006524+00
0b7d091d-d8a1-4bce-a92b-4b28056bf35b,MFT-0029,1,Fragrance,향료,-,100.0000,Fragrance,,2026-01-28 16:37:18.006524+00
0b863735-1afb-416d-b2ee-2035dcba2b32,MFP-0031,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:18.006524+00
0b8f680d-12b9-41a2-8d23-8b23c8ef6247,MUC-0001,1,Titanium Dioxide,티타늄디옥사이드,13463-67-7,44.0000,Sunscreen Agents,"3, 1, 1, 1, 1",2026-01-28 16:37:18.006524+00
0baa46f0-a38b-4e97-ab49-b3b80f41b23e,MFB-0082,1,Fragrance,향료,,100.0000,Fragrance,,2026-01-28 16:37:16.589765+00
0baa9862-ad2b-4eb8-8f2e-c670ac2dee1d,MFS-0031,1,Fragrance,향료,-,100.0000,Fragrance,,2026-01-28 16:37:18.006524+00
0bca2e6a-b48b-47d9-a30d-2b78005619cc,MXI-0001,1,Triclosan,트리클로산,3380-34-5,100.0000,Preservatives,,2026-01-28 16:37:18.006524+00
0bdca97d-514e-4bdc-ba5a-be41030ece19,MCC-0003,1,synthetic fiuorphlogopite,,12003-38-2,83.5000,"Bulking Agents, Opacifying Agents, Pearlizing Agent",독일,2026-01-28 16:37:16.589765+00
0c00dc69-8546-4bb6-b374-d5402d100a24,MAC-0042,1,Water,정제수,7732-18-5,96.9500,Skin Conditioning Agent,,2026-01-28 16:37:16.589765+00
0c036a19-e533-4d03-b562-c98ea51b547b,MAP-0016,3,Prunus Persica (Peach) Fruit Extract,락틱애씨드,84012-34-0,0.0000,Skin Conditioning Agent,,2026-01-28 16:37:16.589765+00
0c15ecf6-cc16-44b5-89ec-2d1ec273c6c0,MAS-0021,5,Zea Mays (Corn) Kernel Extract,옥수수커넬추출물,-,0.2000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0c5d638b-0b2b-4949-8b4f-ccf54bf43a60,MDS-0014,2,PEG-10 Dimethicone/Vinyl Dimethicone Crosspolymer,피이지-10다이메티콘/비닐다이메티콘크로스폴리머,68937-54-2,0.0000,Skin Conditioning Agent,,2026-01-28 16:37:16.589765+00
0c66caf7-596e-4650-9726-f1af02c0a0a0,MOA-0007,1,Canola Oil,카놀라오일,8002-13-9,100.0000,Skin Conditioning Agent,,2026-01-28 16:37:18.006524+00
0c868359-94f2-4203-b295-00624ed1bf71,MAO-0009,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0cc6aa77-d35b-44b9-90dc-7158044fa37d,MAI-0003,1,Water,정제수,7732-18-5,84.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0cce6ad7-420c-414a-be2e-544c05c347b2,MOO-0002,4,Organic virgin wheatgerm oil,,8006-95-9,2.0000,Skin Conditioning Agent,,2026-01-28 16:37:18.006524+00
0cd3d71a-5d5e-4cf1-8cb5-1424804695d9,MFB-0049,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:16.589765+00
0d02623a-0871-446f-9189-1239a853d204,MAE-0009,2,PPG-2-Ceteareth-9,피피지-2-세테아레스-9,-,0.0000,Skin Conditioning Agent,,2026-01-28 16:37:16.589765+00
0d1d7685-a41c-4dd6-8770-8606f46b0dd9,MAP-0038,6,Tocopheryl Acetate,토코페릴아세테이트,7695-91-2,0.1000,Skin Conditioning Agent,중국,2026-01-28 16:37:16.589765+00
0d4f00f7-df71-46ec-9fca-4a45566827f1,MAT-0010,4,Carica Papaya (Papaya) Fruit Extract,파파야열매추출물,84012-30-6,2.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0d5d14e0-b85f-4a5d-8a67-41d6bd97ec34,MAC-0041,5,Hydroxypropyl Methylcellulose,하이드록시프로필메틸셀룰로오스,9004-65-3,2.0000,Skin Conditioning Agent,덴마크,2026-01-28 16:37:16.589765+00
0d7af92d-cfc4-4d80-9879-1ac5073fb6a0,MPE-0003,1,Water,정제수,7732-18-5,34.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:18.006524+00
0d7e3d81-111d-46d4-8cea-7d47c13cb490,MAP-0039,2,Water,정제수,7732-18-5,98.4950,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0d847e31-fbe4-48b1-96f8-76e5895ecda1,MFS-0052,1,Fragrance,향료,-,100.0000,Fragrance,,2026-01-28 16:37:18.006524+00
0de3b5fb-8184-4cd3-a41e-e452eed72904,MCC-0007,3,Mica,마이카,12001-26-2,10.0000,Bulking Agents,대한민국,2026-01-28 16:37:16.589765+00
0dfbdad6-feed-4875-91c1-757ce7a122b4,MFP-0004,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:18.006524+00
0e50935b-3b10-4d3c-8c6e-70189ed62b6a,MFC-0032,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:16.589765+00
0e55b248-b864-48c3-8313-6d53a469021a,MFL-0012,1,Fragrance,향료,8807-75-8,100.0000,Fragrance,대한민국,2026-01-28 16:37:16.589765+00
0e5e1d1c-50d2-48d9-a94b-f4589e834249,MSI-0001,1,Sodium Lauroyl Methyl Isethionate,소듐라우로일메틸이세티오네이트,-,100.0000,Surfactant,미국,2026-01-28 16:37:18.006524+00
0e8bd30d-6fe3-4e65-982a-ae7f822bf298,MKH-0003,1,Arginine DNA,알지닌디엔에이,-,100.0000,Humectant,프랑스,2026-01-28 16:37:18.006524+00
0ea08830-a56c-4079-882f-26f7e7ad3b58,MFE-0021,4,Eucalyptus Globulus Leaf Oil,유칼립투스잎오일,8000-48-4,5.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0ebba4a2-a45a-416c-8ccb-9e6e0cc2ff0a,MAS-0035,3,Silk Extract,실크추출물,91079-16-2,3.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0ee5249d-a5e4-4bcc-8ced-787ad75493bd,MFR-0005,1,Fragrance,향료,-,100.0000,Fragrance,,2026-01-28 16:37:18.006524+00
0eefa09f-8e2b-4402-b70c-2ab6832f5116,MCC-0003,3,titanium dioxde,,13463-67-7,16.0000,"Bulking Agents, Opacifying Agents, Pearlizing Agent",독일,2026-01-28 16:37:16.589765+00
0f12d5b8-7b4a-446b-826a-715a572def9a,MFB-0076,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:16.589765+00
0f2b6329-d4f2-406f-8fa5-fa8ac0851404,MXP-0001,1,Xylose,,25213-24-5,50.0000,"Binder, Film Formers",일본,2026-01-28 16:37:18.006524+00
