공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,ISOEUGENOL,ISOEUGENOL,97-54-1,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,LINALOOL,LINALOOL,78-70-6,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,LYRAL,LYRAL,31906-04-4,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,LYSMERAL,LYSMERAL,80-54-6,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,METHYL HEPTINE CARBONATE,METHYL HEPTINE CARBONATE,111-12-6,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,OAKMOSS EXTRACT,OAKMOSS EXTRACT,90028-68-5,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,15752,BODY CLEANSER  A15752/R1,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4,,,,,BODY CLEANSER A15752R1 (ALLERGEN).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,CINNAMAL,CINNAMAL,104-55-2,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,CITRAL,CITRAL,5392-40-5,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,CITRONELLOL,CITRONELLOL,106-22-9,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,COUMARINE,COUMARINE,91-64-5,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,d-LIMONENE,d-LIMONENE,5989-27-5,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,EUGENOL,EUGENOL,97-53-0,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,FARNESOL,FARNESOL,4602-84-0,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,GERANIOL,GERANIOL,106-24-1,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,HYDROXYCITRONELLAL,HYDROXYCITRONELLAL,107-75-5,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,ISOEUGENOL,ISOEUGENOL,97-54-1,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,LINALOOL,LINALOOL,78-70-6,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,LYRAL,LYRAL,31906-04-4,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,LYSMERAL,LYSMERAL,80-54-6,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
