공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
타임향료,190601,ESSENTIAL COMPLEX 190601,D-Limonene,D-Limonene,5989-27-5,0.567965,,YES,YES,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Linalool,Linalool,78-70-6,0.027635,,YES,NO,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Folione,Methyl Heptin Carbonate,111-12-6,0,,,,MFE-0019_ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED_stamp.xls
타임향료,100813,COLLAGEN 100813,Alpha Iso Methyl Ionone (Methyl Ionone Gamma),Alpha-Isomethyl Ionone,127-51-5,0.0037813,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Amyl Cinnamic Aldehyde,Amyl Cinnamal,122-40-7,0.0009547,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Amyl Cinnamic Alcohol,Amyl Cinamyl Alcohol,101-85-9,0,,,,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Anisyl Alcohol,Anisyl Alcohol,105-13-5,5e-08,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Benzyl Alcohol,Benzyl Alcohol,100-51-6,1.72e-05,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Benzyl Benzoate,Benzyl Benzoate,120-51-4,7.56e-05,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Benzyl Cinnamate,Benzyl Cinnamate,103-41-3,0,,,,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Benzyl Salicylate,Benzyl Salicylate,118-58-1,0.0096431,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Lilial,2-(4-tert-Butylbenzyl)Propionaldehyde,80-54-6,0,,,,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Cinnamic Aldehyde,Cinnamal,104-55-2,0,,,,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Cinnamic Alcohol,Cinnamyl Alcohol,104-54-1,1.5e-07,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Citral,Citral,5392-40-5,0.00142205,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Citronellol,Citronellol,106-22-9,0.003443,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Coumarin,Coumarin,91-64-5,0.0001904,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Eugenol,Eugenol,97-53-0,0.00043735,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Treemoss Extract,Treemoss Extract,90028-67-4,0,,,,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Oakmoss Extract,Oakmoss Extract,90028-68-5,0,,,,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Farnesol,Farnesol,4602-84-0,0,,,,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Geraniol,Geraniol,106-24-1,0.00340545,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Hexyl Cinnamic Aldehyde,Hexyl cinnam-aldehyde,101-86-0,0.01445245,,YES,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Hydroxycitronellal,Hydroxycitronellal,107-75-5,0.0040476,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Lyral,Hydroxymethylpentylcyclohexane Carboxaldehyde,31906-04-4,0,,,,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Isoeugenol,Isoeugenol,97-54-1,2e-05,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,D-Limonene,D-Limonene,5989-27-5,0.02606,,YES,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Linalool,Linalool,78-70-6,0.01229515,,YES,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,Folione,Methyl Heptin Carbonate,111-12-6,1.15e-05,,NO,NO,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,* EACH FIGURE IS ROUNDED OFF TO THE SECOND DECIMAL PLACE,* EACH FIGURE IS ROUNDED OFF TO THE SECOND DECIMAL PLACE,,,,,,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,100813,COLLAGEN 100813,* BLANK MEANS NOT ADDED ARTIFICIALLY,* BLANK MEANS NOT ADDED ARTIFICIALLY,,,,,,에바스코스메틱 COLLAGEN 100813 ALLERGENS CERTIFIED.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Alpha Iso Methyl Ionone (Methyl Ionone Gamma),Alpha-Isomethyl Ionone,127-51-5,0,,,,에바스코스메틱 ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED 26항목.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Amyl Cinnamic Aldehyde,Amyl Cinnamal,122-40-7,0,,,,에바스코스메틱 ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED 26항목.xls
타임향료,190601,ESSENTIAL COMPLEX 190601,Amyl Cinnamic Alcohol,Amyl Cinamyl Alcohol,101-85-9,0,,,,에바스코스메틱 ESSENTIAL COMPLEX 190601 ALLERGENS CERTIFIED 26항목.xls
