id,product_code,source_filename,product_name,batch_number,batch_unit,dept_name,actual_qty,mfg_date,operator,approver_1,approver_2,approver_3,notes_content,total_time,special_notes,step_count
5cb20ea3-9960-44f9-b2fe-7105e1d9a088,NPSS______,NPSS_나뚜리아 크리미 오일솔트스크럽.xlsx,에바스 나뚜리아 크리미 오일 솔트 스크업,,Kg,,Kg,,,결 재,담 당,부서장,,,,8
7cc301fd-e603-4065-915f-b9679a7a80e9,OEBC000,OEBC000_오쎄 퓨어앤내추럴에코바디워시.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
4377377a-77c7-45c3-b43b-595872e23ddb,OEBL000,OEBL000_오쎄 퓨어앤내추럴 바디로션.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,10
74ab5da2-c937-4b5a-8ae3-10bd1fcd9747,OEFC000,OEFC000_오쎄 퓨어앤내추럴 에코 폼클렌저.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,*일정 점/경도가 생성되기 전까지 교반을 종료하지 말 것,,,8
42750891-90be-4f3e-b187-58b8a369ecbb,OEHC000,OEHC000_오쎄 퓨어앤내추럴에코핸드크림.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
741cb222-e99b-4123-aa74-2c4dcf86a481,OERS001,OERS001_오쎄 퓨어앤내추럴 에코 헤어 컨디셔너.xlsx,오쎄 퓨어앤내추럴 에코 헤어 컨디셔너,,Kg,,Kg,,,결 재,담 당,부서장,,,,9
f1c794f1-1dd3-41d2-a7c3-2d5014b13cac,OESP001,OESP001_오쎄 퓨어앤내추럴에코헤어샴푸.xlsx,오쎄 퓨어앤내추럴 에코 헤어 샴푸,,Kg,,Kg,,,결 재,담 당,부서장,,,,2
2ce29f47-3c54-4d5d-8660-416678da7070,PDBC004,PDBC003 4_페디슨 인스티튜트보떼 망고리치밸런싱바디워시.xlsx,페디슨 인스티튜트-보떼 자몽 핑크 밸런싱 바디워시,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
4e2a886d-8755-4846-9be2-2ce09760c8c4,PDBC001,PDBC_페디슨 데오드바디클렌저.xlsx,페디슨 데오 드 바디클렌저,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
ee9bd81e-723e-4d0d-a7f5-a5b59fef170e,PDBL000,PDBL_페디슨 바디로션.xlsx,페디슨 뉴트리티브 세라마이드 바디로션,,Kg,,Kg,,,결 재,담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
1de1a400-a6b3-4ff7-b546-7c191a4b3b0c,PDCO001,PDCO001_페디슨 아로마틱넥타클렌징오일.xlsx,페디슨 아로마틱 넥타 클렌징 오일,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
ddc0c9c7-2416-456f-92e3-6260ce81a00c,PDCW001,PDCW_페디슨 아이러브그린클렌징워터.xlsx,페디슨 아이러브 그린 클렌징워터,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
f7693d71-2dba-4497-929d-52aa562d8cd9,PDFC001,PDFC_페디슨 폼.xlsx,페디슨 아로마틱 카밍 클렌징 폼,,Kg,,Kg,,,결 재,담 당,부서장,*일정 점/경도가 생성되기 전까지 교반을 종료하지 말 것,,,7
9bbef463-8af8-446a-bdb3-10fb7e628bc6,PDFO_______,PDFO_페디슨 아로마틱페이스오일.xlsx,페디슨 아로마틱 페이스 오일,,Kg,,Kg,,,결 재,담 당,부서장,,,,4
db2b19fb-ee78-4826-87d6-0dd1b7388a14,PDHC_____,PDHC_페디슨 뉴트리티브세라마이드핸드크림.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
0d5d7629-9ab5-4c46-8e28-38e6dcb3597a,PDHM000,PDHM000_페디슨 옴므인티메이트미스트오리지날.xlsx,페디슨 옴므 인티메이트 미스트 오리지날,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
d482a529-4a13-4c1d-818a-a35a47c4d9a8,PDHM_______,PDHM_페디슨 인스티튜트보떼아르간퍼퓸헤어미스트.xlsx,페디슨 인스티튜트 보떼 아르간&퍼퓸 헤어 미스트,,Kg,,Kg,,,결 재,담 당,부서장,,,,7
f2a51eca-2a74-412e-86a6-22ae1aa1bda7,PDHS_______,PDHS_페디슨 인스티튜트보떼아르간&퍼퓸헤어세럼.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
