ingredient_code,ingredient_name,manufacturer,origin_country,purchase_type,purchase_method,coa_urls,composition_urls,msds_kr_urls,msds_en_urls
MAE-0019,Specbio Ectoin,Spec-Chem Industry Inc,나노젠,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0019/COA/MAE-0019_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0019/COA/MAE-0019_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0019/COMP/MAE-0019_COMP_001.pdf""}",{},{}
MAE-0020,EVAS Anti-odor Complex,(주)즐거운회사,(주)즐거운회사,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0020/COA/MAE-0020_COA_001.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAE-0020/COMP/MAE-0020_COMP_001.pdf""}",{},{}
MAF-0006,Fresh Green Bud,내추럴솔루션,내추럴솔루션,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0006/COA/MAF-0006_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0006/COA/MAF-0006_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0006/COMP/MAF-0006_COMP_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0006/COMP/MAF-0006_COMP_002.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0006/COMP/MAF-0006_COMP_003.pdf""}",{},{}
MAF-0007,후코이단추출물,㈜해림후코이단,㈜해림후코이단,무작위,원료실,{},{},{},{}
MAF-0008,FruitMax Brown 900 WS,CHR-HANSEN,(주)주피터인터네셔널,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0008/COA/MAF-0008_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0008/COA/MAF-0008_COA_002.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0008/COA/MAF-0008_COA_003.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAF-0008/COMP/MAF-0008_COMP_001.pdf""}",{},{}
MAG-0002,Gamma-Oryzanol,Tsumo Rice,정한약품,무작위,원료실,{},{},{},{}
MAG-0003,Ginkgo Extract,씨앤비바이오,씨앤비바이오,무작위,원료실,{},{},{},{}
MAG-0004,Gatuline RC,Gatefosse,(주)노바켐,무작위,원료실,{},{},{},{}
MAG-0007,HIZ Wheat Protein,즐거운회사,즐거운회사,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0007/COA/MAG-0007_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0007/COA/MAG-0007_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0007/COMP/MAG-0007_COMP_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0007/COMP/MAG-0007_COMP_002.pdf""}",{},{}
MAG-0009,Green Tea Ext.,㈜즐거운회사,㈜즐거운회사,무작위,원료실,"{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0009/COA/MAG-0009_COA_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0009/COA/MAG-0009_COA_002.pdf""}","{""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0009/COMP/MAG-0009_COMP_001.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0009/COMP/MAG-0009_COMP_002.pdf"",""https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/ingredients-documents/MAG-0009/COMP/MAG-0009_COMP_003.pdf""}",{},{}
