id,allergen_name,inci_name,cas_no
90090058-91f1-451e-b677-00b93e182cb6,LYRAL,LYRAL,
f1d1c7ff-b94a-46e4-9259-54414060df0c,LYSMERAL,LYSMERAL,
777d8176-2b7f-4b8e-9a0b-54b67ac91c03,METHYL HEPTIN CARBONATE,METHYL HEPTIN CARBONATE,
9afd05ab-4129-497c-8080-8799af0ceaed,OAK MOSS EXTRACT,OAK MOSS EXTRACT,
6fe0c523-6b55-41df-9432-9c6c8496a432,TREEMOSS EXTRACT,TREEMOSS EXTRACT,
926d497c-84f5-4f8e-ab27-deeb9fd340e4,d-LIMONENE,d-LIMONENE,"BERGAMOT OIL [0.63], ORANGE OIL [0.95], TANGERINE OIL [0.64]"
fe0a2428-5adb-4310-abd3-c3cece4e38c7,LINALOOL,LINALOOL,BERGAMOT OIL [0.27]
f050686a-2d91-447f-b5b0-8bb69aaff8fd,d-LIMONENE,d-LIMONENE,GRAPEFRUIT OIL [0.95]
64a04312-1052-420f-9f97-9d04eb0faab8,CITRAL,CITRAL,LEMON OIL [0]
66bf947f-e3d2-4337-bb80-62f31b6d12a1,CITRONELLOL,CITRONELLOL,GERANIUM OIL [0.1]
39e434b2-9b43-4586-88a1-e9ef1b2b9f27,d-LIMONENE,d-LIMONENE,"BERGAMOT OIL [0.1], LEMON OIL [0.08], ORANGE OIL [0.09]"
8293bf34-c50f-45a7-a483-d65e1769890a,GERANIOL,GERANIOL,GERANIUM OIL [0.05]
275f461f-6bcc-46b0-997d-fdd162c3f5a4,LINALOOL,LINALOOL,BERGAMOT OIL [0.04]
796e34d8-cb50-4c35-b8a4-a57d0f10c31f,CITRONELLOL,CITRONELLOL,GERANIUM OIL [0.23]
53fca74e-5908-4f60-bc5e-f66ae0e42172,GERANIOL,GERANIOL,GERANIUM OIL [0.1]
779d2fc1-a21a-4a87-b53c-45e74b5e5113,COUMARIN,COUMARIN,91-64-5
53b24061-d859-495a-9bb0-52063a5176e4,d-LIMONENE,d-LIMONENE,ORANGE OIL [1.01]
f2f0ca3f-8cea-4256-be8d-216daba72f7c,d-LIMONENE,d-LIMONENE,TANGERINE OIL [0.4]
7df21084-3bbd-435d-81bc-e81896f23cd3,d-LIMONENE,d-LIMONENE,"BERGAMOT OIL [0.11], TANGERINE OIL [0.25]"
2153f9c0-e251-481d-b0fc-e67cd258897b,LINALOOL,LINALOOL,"BERGAMOT OIL [0.05], LAVANDIN OIL [0.05]"
c0cd8f78-7e7d-4dd8-aaff-3218151819e6,d-LIMONENE,d-LIMONENE,"BERGAMOT OIL [0.5], TANGERINE OIL [0.76]"
34f2a2ff-884a-4e5b-9890-2416c9c3d6f0,LINALOOL,LINALOOL,BERGAMOT OIL [0.21]
acaca733-aadf-42dc-80d3-c7993b206a99,d-LIMONENE,d-LIMONENE,"ORANGE OIL [0.1], TANGERINE OIL [0.08]"
