ingredient_code,component_order,inci_name_en,inci_name_kr,cas_number,composition_ratio,function,country_of_origin
MCC-0010,3,Dextrin,덱스트린,9004-53-9,25,Skin Conditioning Agent,대한민국
MCC-0011,1,Synthetic Fluorphlogopite,합성플루오르플로고파이트,12003-38-2,82.1,Pearlizing Agent,중국
MCC-0011,2,Titanium Dioxide,티타늄디옥사이드,13463-67-7,14.5,Pearlizing Agent,중국
MCC-0011,3,Iron Oxide Red,적색산화철,1309-37-1,3.4,Pearlizing Agent,중국
MCD-0009,1,CI 47000,황색204호,8003-22-3,100,Colorant,일본
MCF-0001,1,CI 42090,청색1호,2650-18-2,100,Colorant,한국
MCF-0002,1,CI 42053,녹색3호,2353-45-9,100,Colorant,일본
MCF-0005,1,CI 19140,황색4호,12225-21-7,100,Colorant,일본
MCF-0006,1,CI 15985,황색5호,2783-94-0,100,Colorant,일본
MCG-0001,1,Azo Dye Mixture,아조 다이 믹스처,,100,,
MCO-0001,1,CI 15510,등색205호,633-96-5,100,Colorant,일본
MCP-0001,1,Azo Dye Mixture,아조 다이 믹스처,,100,,
MCR-0001,1,CI 16185,적색2호,,100,Colorant,한국
MCR-0002,1,CI 45190,적색401호,,100,Colorant,일본
MCR-0005,1,CI 17200,적색227호,3567-66-6,100,Colorant,일본
MCR-0006,1,CI 26100,적색225호,,100,Colorant,일본
MCR-0007,1,CI 14700,적색504호,,100,Colorant,일본
MCR-0008,1,CI 16255,적색102호,,100,Colorant,일본
MCR-0009,1,Azo Dye Mixture,아조 다이 믹스처,,100,,미국
MCT-0006,1,Titanium Dioxide,티타늄디옥사이드,13463-67-7,0,Ultraviolet Light Absorbers,
MCT-0006,2,Water,정제수,7732-18-5,0,Ultraviolet Light Absorbers,
MCT-0006,3,Alumina,알루미나,1333-84-2,0,Ultraviolet Light Absorbers,
MCT-0006,4,Silica,실리카,7631-86-9,0,Ultraviolet Light Absorbers,
MCT-0006,5,Sodium Polyacrylate,소듐폴리아크릴레이트,9003-04-7,0,Ultraviolet Light Absorbers,
MCT-0006,6,Propylene Glycol,프로필렌글라이콜,57-55-6,0,Ultraviolet Light Absorbers,
MCT-0006,7,Diazolidinyl Urea,디아졸리디닐우레아,78491-02-8,0,Ultraviolet Light Absorbers,
MCT-0006,8,Methylparaben,메틸파라벤,99-76-3,0,Ultraviolet Light Absorbers,
MCT-0006,9,Propylparaben,프로필파라벤,94-13-3,0,Ultraviolet Light Absorbers,
MCT-0007,1,Titanium Dioxide,티타늄디옥사이드,13463-67-7,55,Pearlizing Agent,독일
MCT-0007,2,Mica,마이카,12001-26-2,33,Pearlizing Agent,독일
MCT-0007,3,Silica,실리카,7631-86-9,12,Pearlizing Agent,독일
MCT-0008,1,Titanium Dioxide,티타늄디옥사이드,13463-67-7,97,Opacifying Agent,
MCT-0008,2,Aluminum Hydroxide,알루미늄하이드록사이드,21645-51-2,3,Opacifying Agent,
MCT-0009,1,Hydrated Ferric Oxide,황색산화철,,100,Colorant,
MCT-0010,1,Ferric Oxide,적색산화철,,100,Colorant,
MCU-0001,1,Ultramarines,울트라마린,11118-33-5,100,Colorant,영국
MCU-0002,1,CI 77007,울트라마린,12769-96-9,90,Colorant,영국
MCU-0002,2,CI 77004,벤토나이트,1302-78-9,10,Colorant,영국
MCV-0001,1,CI 60730,자색401호,4430-18-6,100,Colorant,일본
MCY-0001,1,Azo Dye Mixture,아조 다이 믹스처,,100,,미국
MDA-0001,1,Silica,실리카,7631-86-9,100,Bulking Agents,독일
MDA-0002,1,Silica Dimethyl Silylate,실리카다이메틸실릴레이트,1158846-14-0,100,Bulking Agents,
MDA-0003,1,Prunus Armeniaca (Apricot) Seed Powder,살구씨가루,68650-44-2,100,Scrubs,대한민국
MDB-0002,1,Titanium Dioxide,티타늄디옥사이드,13463-67-7,63.2,Bulking Agents,대한민국
MDB-0002,2,Talc,탤크,14807-96-6,20.2,Bulking Agents,대한민국
MDB-0002,3,Nylon-12,나일론-12,25038-74-8,3,Bulking Agents,대한민국
MDB-0002,4,Polymethyl Methacrylate,폴리메틸메타크릴레이트,9011-14-7,1.5,Bulking Agents,대한민국
MDB-0002,5,Yellow Oxide of Iron,황색산화철,1345-27-3,4.88,Bulking Agents,대한민국
MDB-0002,6,Red Oxide of Iron,적색산화철,1309-37-1,1.94,Bulking Agents,대한민국
MDB-0002,7,Black Oxide of Iron,흑색산화철,1309-37-1,1.43,Bulking Agents,대한민국
MDB-0002,8,Ultramarines,울트라마린,1302-83-6,1.05,Bulking Agents,대한민국
MDB-0002,9,Triethoxycaprylylsilane,트라이에톡시카프릴릴실레인,2943-75-1,2.7,Bulking Agents,대한민국
MDB-0002,10,Dimethicone,다이메티콘,9006-65-9,0.1,Bulking Agents,대한민국
MDC-0001,1,Kaolin,카올린,1332-58-7,75,Bulking Agents,프랑스
MDC-0001,2,Illite,일라이트,12173-60-3,25,Bulking Agents,프랑스
MDD-0001,1,Aluminum Starch Octenylsuccinate,알루미늄전분옥테닐석시네이트,9087-61-0,100,Viscosity Increasing agent,
MDE-0001,1,Mica,마이카,12001-26-2,0,Bulking Agents,
MDE-0001,2,Triethoxycaprylylsilane,트라이에톡시카프릴릴실레인,2943-75-1,0,Bulking Agents,
MDE-0001,3,Titanium Dioxide,티타늄디옥사이드,13463-67-7,0,Bulking Agents,
MDE-0001,4,Methyl Methacrylate Crosspolymer,메틸메타크릴레이트크로스폴리머,25777-71-3,0,Bulking Agents,
MDE-0001,5,CI 77492,황색산화철,1345-27-3,0,Bulking Agents,
MDE-0001,6,CI77491,적색산화철,1309-37-1,0,Bulking Agents,
MDE-0001,7,CI 77499,흑색산화철,1309-37-1,0,Bulking Agents,
MDG-0001,1,Garcinia Cambogia Fruit Extract,가르시니아열매추출물,90045-23-1,100,Skin Conditioning Agent,대한민국
MDI-0001,1,Nylon-6,나일론-6,25038-54-4,100,Opacifying Agents,
MDK-0001,1,Kaolin,카올린,1332-58-7,100,Bulking Agents,미국
MDP-0004,1,Prunus Amygdalus Dulcis (Sweet Almond) Shell Powder,스위트아몬드껍질가루,90320-37-9,100,Scrubs,중국
MDS-0012,1,Silica,실리카,7631-86-9,0,Bulking Agents,
MDS-0012,2,Mineral Oil,미네랄오일,8012-95-1,0,Bulking Agents,
MDS-0012,3,Dimethicone,다이메티콘,9006-65-9,0,Bulking Agents,
MDS-0013,1,Polymethyl Methacrylate,폴리메틸메타크릴레이트,9011-14-7,100,Bulking Agents,
MDS-0014,1,Cyclopentasiloxane,사이클로펜타실록세인,541-02-6,0,Skin Conditioning Agent,
MDS-0014,2,PEG-10 Dimethicone/Vinyl Dimethicone Crosspolymer,피이지-10다이메티콘/비닐다이메티콘크로스폴리머,68937-54-2,0,Skin Conditioning Agent,
MDS-0015,1,Silica,실리카,7631-86-9,100,Absorbents,대한민국
MDS-0016,1,Silica,실리카,7631-86-9,100,Bulking Agent,대한민국
MDT-0009,1,Titanium Dioxide,티타늄디옥사이드,13463-67-7,87,Sunscreen Agents,대한민국
MDT-0009,2,Silica,실리카,7631-86-9,10,Sunscreen Agents,대한민국
MDT-0009,3,Dimethicone,다이메티콘,9006-65-9,3,Sunscreen Agents,대한민국
MFA-0012,1,Fragrance,향료,-,100,Fragrance,대한민국
MFA-0013,1,Fragrance,향료,-,100,Fragrance,
MFA-0014,1,Fragrance,향료,-,100,Fragrance,대한민국
MFA-0015,1,Fragrance,향료,-,100,Fragrance,대한민국
MFA-0016,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0001,1,Fragrance,향료,-,100,Fragrance,
MFB-0009,1,Fragrance,향료,-,100,Fragrance,
MFB-0014,1,Fragrance,향료,-,100,Fragrance,
MFB-0016,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0017,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0019,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0020,1,Fragrance,향료,-,100,Fragrance,
MFB-0021,1,Fragrance,향료,-,100,Fragrance,
MFB-0022,1,Fragrance,향료,-,100,Fragrance,
MFB-0024,1,Fragrance,향료,-,100,Fragrance,
MFB-0025,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0026,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0027,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0028,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0029,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0030,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0031,1,Fragrance,향료,-,100,Fragrance,
MFB-0032,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0033,1,Fragrance,향료,-,100,Fragrance,
MFB-0034,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0035,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0036,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0037,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0038,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0039,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0040,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0041,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0042,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0043,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0044,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0045,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0046,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0047,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0048,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0049,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0050,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0051,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0052,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0053,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0054,1,Fragrance,향료,-,100,Fragrance,ICID
MFB-0055,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0056,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0057,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0058,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0059,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0060,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0061,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0062,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0063,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0064,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0065,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0066,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0067,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0068,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0069,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0070,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0071,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0072,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0074,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0075,1,Fragrance,향료,-,100,"Skin Conditioning Agent, Fragrance",
MFB-0076,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0077,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0078,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0079,1,Fragrance,향료,,100,Fragrance,
MFB-0080,1,Fragrance,향료,,100,Fragrance,
MFB-0081,1,Fragrance,향료,,100,Fragrance,
MFB-0082,1,Fragrance,향료,,100,Fragrance,
MFB-0083,1,Fragrance,향료,,100,Fragrance,
MFB-0084,1,Fragrance,향료,,100,Fragrance,
MFB-0085,1,Fragrance,향료,,100,Fragrance,
MFB-0086,1,Fragrance,향료,,100,Fragrance,
MFB-0087,1,Fragrance,향료,,100,Fragrance,
MFB-0088,1,Fragrance,향료,,100,Fragrance,
MFB-0089,1,Fragrance,향료,,100,Fragrance,
MFB-0090,1,Fragrance,향료,,100,Fragrance,
MFB-0091,1,Fragrance,향료,,100,Fragrance,
MFB-0092,1,Fragrance,향료,,100,Fragrance,
MFB-0093,1,Fragrance,향료,,100,Fragrance,대한민국
MFB-0094,1,Fragrance,향료,,100,Fragrance,대한민국
MFB-0095,1,Fragrance,향료,,100,Fragrance,대한민국
MFB-0096,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0097,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0098,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0099,1,Fragrance,향료,-,100,Fragrance,대한민국
MFB-0100,1,Fragrance,향료,,100,Fragrance,대한민국
MFB-0101,1,Fragrance,향료,,100,Fragrance,대한민국
MFB-0102,1,Fragrance,향료,,100,Fragrance,대한민국
MFB-0103,1,Fragrance,향료,,100,Fragrance,대한민국
MFB-0104,1,Fragrance,향료,,100,Fragrance,대한민국
MFB-0105,1,Fragrance,향료,,100,Fragrance,대한민국
MFB-0106,1,Fragrance,향료,,100,Fragrance,대한민국
MFB-0107,1,Fragrance,향료,,100,Fragrance,대한민국
MFB-0108,1,Fragrance,향료,,100,Fragrance,대한민국
MFB-0109,1,Fragrance,향료,,100,Fragrance,대한민국
MFC-0016,1,Fragrance,향료,-,100,Fragrance,
MFC-0017,1,Fragrance,향료,-,100,Fragrance,
MFC-0019,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0020,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0021,1,Fragrance,향료,-,100,Fragrance,
MFC-0022,1,Fragrance,향료,-,100,Fragrance,스페인
MFC-0023,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0024,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0025,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0026,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0027,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0028,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0029,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0030,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0031,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0032,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0033,1,Fragrance,향료,-,100,Fragrance,대한민국
MFC-0034,1,Fragrance,향료,8000-29-1,100,Fragrance,대한민국
MFD-0006,1,Fragrance,향료,-,100,Fragrance,대한민국
MFD-0007,1,Fragrance,향료,-,100,Fragrance,대한민국
MFD-0008,1,Fragrance,향료,-,100,Fragrance,대한민국
MFD-0009,1,Fragrance,향료,-,100,Fragrance,대한민국
MFE-0001,1,Fragrance,향료,-,100,Fragrance,
